current_path,proposed_new_path,category,size_mb,reason
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_year_coverage.csv,reviewer_package/outputs/validation/population_weighted_year_coverage.csv,final_output,0.0008,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\reports\population_weighted_yearly_adjusted_weights.csv,reviewer_package/outputs/validation/population_weighted_yearly_adjusted_weights.csv,final_output,0.0296,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\forecast_2026_model_comparison.txt,reviewer_package/outputs/reports/forecast_2026_model_comparison.txt,final_report,0.0028,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\nonrecursive_historical_monthly_stability.csv,reviewer_package/outputs/validation/nonrecursive_historical_monthly_stability.csv,validation_artifact,0.001,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\nonrecursive_historical_overfitting_audit.csv,reviewer_package/outputs/validation/nonrecursive_historical_overfitting_audit.csv,validation_artifact,0.0015,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\nonrecursive_historical_regularization_study.csv,reviewer_package/outputs/validation/nonrecursive_historical_regularization_study.csv,validation_artifact,0.0035,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\shap_final_model_interpretation.txt,reviewer_package/outputs/reports/shap_final_model_interpretation.txt,final_report,0.0008,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\shap_values_mean_abs_final_model.csv,reviewer_package/outputs/metrics/shap_values_mean_abs_final_model.csv,validation_artifact,0.0012,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_forecast_2026.csv,reviewer_package/outputs/metrics/table3_forecast_2026.csv,final_output,1.2626,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_forecast_2026_methodology_note.txt,reviewer_package/outputs/reports/table3_forecast_2026_methodology_note.txt,final_report,0.004,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_light_validation_population_weighted.txt,reviewer_package/outputs/reports/table3_light_validation_population_weighted.txt,final_report,0.0022,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_light_validation_population_weighted_metrics.csv,reviewer_package/outputs/validation/table3_light_validation_population_weighted_metrics.csv,validation_artifact,0.0005,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_medium_horizon_feature_importance.csv,reviewer_package/outputs/metrics/table3_medium_horizon_feature_importance.csv,final_output,0.0011,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_medium_horizon_interpretation.txt,reviewer_package/outputs/reports/table3_medium_horizon_interpretation.txt,final_report,0.0116,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_medium_horizon_leakage_audit.txt,reviewer_package/outputs/reports/table3_medium_horizon_leakage_audit.txt,final_report,0.0017,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_medium_horizon_metrics.csv,reviewer_package/outputs/metrics/table3_medium_horizon_metrics.csv,final_output,0.0013,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_medium_horizon_monthly_validation.csv,reviewer_package/outputs/validation/table3_medium_horizon_monthly_validation.csv,validation_artifact,0.0056,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_sarima_guided_population_weighted_metrics.json,reviewer_package/outputs/metrics/table3_sarima_guided_population_weighted_metrics.json,final_output,0.0009,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_sarima_guided_population_weighted_predictions_2025.csv,reviewer_package/outputs/metrics/table3_sarima_guided_population_weighted_predictions_2025.csv,final_output,1.1323,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table3_sarima_guided_population_weighted_train_metrics.json,reviewer_package/outputs/metrics/table3_sarima_guided_population_weighted_train_metrics.json,final_output,0.0007,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_forecast_2026_feature_generation_audit.txt,reviewer_package/outputs/reports/table8_forecast_2026_feature_generation_audit.txt,final_report,0.0009,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_forecast_2026_methodology_note.txt,reviewer_package/outputs/reports/table8_forecast_2026_methodology_note.txt,final_report,0.0021,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_historical_profile_design_check_2025.csv,reviewer_package/outputs/validation/table8_historical_profile_design_check_2025.csv,validation_artifact,0.0007,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_historical_profile_design_check_2025.txt,reviewer_package/outputs/reports/table8_historical_profile_design_check_2025.txt,final_report,0.0015,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_nonrecursive_historical_population_weighted_feature_importance.csv,reviewer_package/outputs/metrics/table8_nonrecursive_historical_population_weighted_feature_importance.csv,final_output,0.0008,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_nonrecursive_historical_population_weighted_forecast_2026.csv,reviewer_package/outputs/metrics/table8_nonrecursive_historical_population_weighted_forecast_2026.csv,final_output,0.3542,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_nonrecursive_historical_population_weighted_methodology_note.txt,reviewer_package/outputs/reports/table8_nonrecursive_historical_population_weighted_methodology_note.txt,final_report,0.001,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_nonrecursive_historical_population_weighted_metrics.json,reviewer_package/outputs/metrics/table8_nonrecursive_historical_population_weighted_metrics.json,final_output,0.0026,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\table8_nonrecursive_historical_population_weighted_predictions_2025.csv,reviewer_package/outputs/metrics/table8_nonrecursive_historical_population_weighted_predictions_2025.csv,final_output,0.5454,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\xgboost\xgboost_proje_ozeti_tr.md,reviewer_package/outputs/reports/xgboost_proje_ozeti_tr.md,final_report,0.0229,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\population_weighted_hdd_cdd.py,reviewer_package/src/01_population_weighted_weather/population_weighted_hdd_cdd.py,final_code,0.0016,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\README.md,reviewer_package/README.md,final_report,0.0055,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\requirements.txt,reviewer_package/requirements.txt,final_report,0.0001,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\table3_medium_horizon_model.py,reviewer_package/src/02_table3_medium_horizon/table3_medium_horizon_model.py,final_code,0.0299,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\talep_tahmin_tek_dosya.py,reviewer_package/src/01_population_weighted_weather/talep_tahmin_tek_dosya.py,final_code,0.1144,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_nonrecursive_historical_design_check.py,reviewer_package/src/03_table8_nonrecursive_historical/xgboost_nonrecursive_historical_design_check.py,final_code,0.0114,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_nonrecursive_historical_model_c_final.py,reviewer_package/src/03_table8_nonrecursive_historical/xgboost_nonrecursive_historical_model_c_final.py,final_code,0.019,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_nonrecursive_historical_overfitting_audit.py,reviewer_package/src/03_table8_nonrecursive_historical/xgboost_nonrecursive_historical_overfitting_audit.py,final_code,0.0142,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_nonrecursive_historical_shap_analysis.py,reviewer_package/src/03_table8_nonrecursive_historical/xgboost_nonrecursive_historical_shap_analysis.py,final_code,0.0114,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_population_weighted_diagnostics.py,reviewer_package/src/01_population_weighted_weather/xgboost_population_weighted_diagnostics.py,final_code,0.0141,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_population_weighted_pipeline.py,reviewer_package/src/01_population_weighted_weather/xgboost_population_weighted_pipeline.py,final_code,0.0347,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_population_weighted_spec_consistency.py,reviewer_package/src/01_population_weighted_weather/xgboost_population_weighted_spec_consistency.py,final_code,0.0064,explicitly selected final asset for external review
C:\Users\Monster\OneDrive\Masaüstü\proje2\xgboost_table3_light_validation.py,reviewer_package/src/02_table3_medium_horizon/xgboost_table3_light_validation.py,final_code,0.007,explicitly selected final asset for external review
