current_path,proposed_new_path,category,size_mb,reason,compression_recommendation,safe_delete_after_backup
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_2_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_2_model_verisi_tahminli.csv,archived_experiment,1.4174,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_3_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_3_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4196,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_3_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_3_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4201,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_3_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_3_model_verisi_tahminli.csv,archived_experiment,1.4201,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_4_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_4_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4196,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_4_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_4_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4195,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_4_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_4_model_verisi_tahminli.csv,archived_experiment,1.4193,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_5_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_5_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4195,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_5_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_5_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4199,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_5_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_5_model_verisi_tahminli.csv,archived_experiment,1.4192,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_6_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_6_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4198,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_6_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_6_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4194,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_6_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_6_model_verisi_tahminli.csv,archived_experiment,1.4194,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_7_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_7_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4241,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_7_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_7_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4239,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_7_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_7_model_verisi_tahminli.csv,archived_experiment,1.424,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_8_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_8_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4231,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_8_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_8_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4234,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2022_table_8_model_verisi_tahminli.csv,archive_full/data/processed/2022_table_8_model_verisi_tahminli.csv,archived_experiment,1.4228,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_1_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_1_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4182,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_1_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_1_model_verisi_tahminli.csv,archived_experiment,1.417,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_2_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_2_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4183,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_2_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_2_model_verisi_tahminli.csv,archived_experiment,1.4165,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_3_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_3_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4182,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_3_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_3_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4183,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_3_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_3_model_verisi_tahminli.csv,archived_experiment,1.4174,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_4_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_4_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4183,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_4_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_4_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4181,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_4_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_4_model_verisi_tahminli.csv,archived_experiment,1.418,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_5_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_5_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.418,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_5_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_5_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4181,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_5_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_5_model_verisi_tahminli.csv,archived_experiment,1.4176,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_6_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_6_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.418,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_6_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_6_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4181,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_6_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_6_model_verisi_tahminli.csv,archived_experiment,1.4184,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_7_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_7_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4227,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_7_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_7_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4224,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_7_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_7_model_verisi_tahminli.csv,archived_experiment,1.4226,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_8_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_8_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4217,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_8_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_8_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4217,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2023_table_8_model_verisi_tahminli.csv,archive_full/data/processed/2023_table_8_model_verisi_tahminli.csv,archived_experiment,1.4215,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_1_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_1_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4301,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_1_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_1_model_verisi_tahminli.csv,archived_experiment,1.4291,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_2_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_2_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_2_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_2_model_verisi_tahminli.csv,archived_experiment,1.4299,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_3_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_3_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_3_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_3_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_3_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_3_model_verisi_tahminli.csv,archived_experiment,1.4296,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_4_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_4_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_4_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_4_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4299,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_4_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_4_model_verisi_tahminli.csv,archived_experiment,1.4297,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_5_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_5_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.43,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_5_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_5_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4301,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_5_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_5_model_verisi_tahminli.csv,archived_experiment,1.4295,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_6_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_6_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_6_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_6_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4298,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_6_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_6_model_verisi_tahminli.csv,archived_experiment,1.43,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_7_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_7_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4348,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_7_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_7_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4348,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_7_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_7_model_verisi_tahminli.csv,archived_experiment,1.4348,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_8_lasso_final_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_8_lasso_final_model_verisi_tahminli.csv,archived_experiment,1.4337,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_8_lasso_interactionli_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_8_lasso_interactionli_model_verisi_tahminli.csv,archived_experiment,1.4336,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\2024_table_8_model_verisi_tahminli.csv,archive_full/data/processed/2024_table_8_model_verisi_tahminli.csv,archived_experiment,1.434,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\analiz_verisi_2022.csv,archive_full/data/processed/analiz_verisi_2022.csv,archived_experiment,1.2594,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\analiz_verisi_2023.csv,archive_full/data/processed/analiz_verisi_2023.csv,archived_experiment,1.2579,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\processed\analiz_verisi_2024.csv,archive_full/data/processed/analiz_verisi_2024.csv,archived_experiment,1.2695,processed dataset not in minimal reviewer package,consider_compression_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\consumption\tuketim_2022.xlsx,archive_full/data/raw/consumption/tuketim_2022.xlsx,final_data,0.2357,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\consumption\tuketim_2023.xlsx,archive_full/data/raw/consumption/tuketim_2023.xlsx,final_data,0.2357,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\consumption\tuketim_2024.xlsx,archive_full/data/raw/consumption/tuketim_2024.xlsx,final_data,0.2366,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\consumption\tuketim_2025.xlsx,archive_full/data/raw/consumption/tuketim_2025.xlsx,final_data,0.1921,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\economic\faiz_oranlari.xlsx,archive_full/data/raw/economic/faiz_oranlari.xlsx,final_data,0.0095,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\economic\kapasite_kullanim_orani.xlsx,archive_full/data/raw/economic/kapasite_kullanim_orani.xlsx,final_data,0.0097,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\economic\pmi_degerleri.xlsx,archive_full/data/raw/economic/pmi_degerleri.xlsx,final_data,0.0092,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\temperature\sicaklik_2022.xlsx,archive_full/data/raw/temperature/sicaklik_2022.xlsx,final_data,19.9187,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\temperature\sicaklik_2023.xlsx,archive_full/data/raw/temperature/sicaklik_2023.xlsx,final_data,20.2473,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\temperature\sicaklik_2024.xlsx,archive_full/data/raw/temperature/sicaklik_2024.xlsx,final_data,20.5671,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\data\raw\temperature\sicaklik_2025.xlsx,archive_full/data/raw/temperature/sicaklik_2025.xlsx,final_data,21.4872,raw source data preserved for full archive but omitted from reviewer package for size and clarity,consider_external_backup_if_large,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_aylik_ortalama_tuketim.png,archive_full/figures/2022_aylik_ortalama_tuketim.png,archived_experiment,0.0323,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_gunluk_gercek_vs_ols.png,archive_full/figures/2022_gunluk_gercek_vs_ols.png,archived_experiment,0.2118,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_saatlik_tuketim_profili.png,archive_full/figures/2022_saatlik_tuketim_profili.png,archived_experiment,0.0519,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_1_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_1_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0457,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_1_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_1_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.086,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_2_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_2_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0487,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_2_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_2_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0897,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_3_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_3_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0517,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_3_lasso_final_cdd_marjinal_etki_aylik_test.png,archive_full/figures/2022_table_3_lasso_final_cdd_marjinal_etki_aylik_test.png,archived_experiment,0.0369,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_3_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_3_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0949,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_4_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_4_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0462,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_4_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_4_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0938,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_5_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_5_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0533,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_5_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_5_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0931,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_6_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_6_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0545,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_6_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_6_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0944,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_7_lasso_final_cdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_7_lasso_final_cdd_marjinal_etki_aylik.png,archived_experiment,0.0483,figure not in curated reviewer package,not_needed,no
C:\Users\Monster\OneDrive\Masaüstü\proje2\outputs\figures\2022_table_7_lasso_final_hdd_marjinal_etki_aylik.png,archive_full/figures/2022_table_7_lasso_final_hdd_marjinal_etki_aylik.png,archived_experiment,0.0929,figure not in curated reviewer package,not_needed,no
